freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,DE116	13701.56 e	14050.27 e	13873.49 e	14582.27 e	: 
A,MIO_EUR,TOTAL,DE117	6383.59 e	6711.99 e	6406.21 e	6928.48 e	: 
A,MIO_EUR,TOTAL,DE118	17754.99 e	18649.68 e	17966.98 e	19323.86 e	: 
A,MIO_EUR,TOTAL,DE119	5072.94 e	5343.12 e	5329.73 e	5668.27 e	: 
A,MIO_EUR,TOTAL,DE11A	8033.22 e	8291.22 e	8318.5 e	8671.04 e	: 
A,MIO_EUR,TOTAL,DE11B	4717.47 e	4884.89 e	4795.65 e	4963.44 e	: 
A,MIO_EUR,TOTAL,DE11C	4409.91 e	4543.31 e	4522.96 e	4703.4 e	: 
A,MIO_EUR,TOTAL,DE11D	12701.23 e	13014.15 e	12758.18 e	13546.09 e	: 
A,MIO_EUR,TOTAL,DE12	112956.81 e	116365.84 e	112876.75 e	120425.65 e	127792.92 e
A,MIO_EUR,TOTAL,DE121	2743.22 e	2852.52 e	2686.55 e	2789.88 e	: 
A,MIO_EUR,TOTAL,DE122	18851.04 e	19205.44 e	18986.56 e	20519.16 e	: 
A,MIO_EUR,TOTAL,DE123	15225.33 e	15760.08 e	14944.55 e	15659.74 e	: 
A,MIO_EUR,TOTAL,DE124	9198.26 e	8948.72 e	8287.4 e	9313.99 e	: 
A,MIO_EUR,TOTAL,DE125	8228.46 e	8547.66 e	8285.53 e	8523.12 e	: 
A,MIO_EUR,TOTAL,DE126	19046.27 e	19079.56 e	18337.02 e	19743.93 e	: 
A,MIO_EUR,TOTAL,DE127	3993.61 e	4118.54 e	4088.7 e	4302.99 e	: 
A,MIO_EUR,TOTAL,DE128	17193.85 e	18832.08 e	18484.89 e	19640.09 e	: 
A,MIO_EUR,TOTAL,DE129	4590.64 e	4705.06 e	4891.94 e	5174.1 e	: 
A,MIO_EUR,TOTAL,DE12A	4135.59 e	4276.46 e	4214.22 e	4465.43 e	: 
A,MIO_EUR,TOTAL,DE12B	5517.89 e	5653.89 e	5461.97 e	5722.25 e	: 
A,MIO_EUR,TOTAL,DE12C	4232.66 e	4385.84 e	4207.43 e	4570.99 e	: 
A,MIO_EUR,TOTAL,DE13	78816.41 e	81714.48 e	80101.69 e	85050.46 e	90530.39 e
A,MIO_EUR,TOTAL,DE131	10822.66 e	11537.26 e	11591.86 e	12448 e	: 
A,MIO_EUR,TOTAL,DE132	7053.27 e	7396.92 e	7301.77 e	7646.3 e	: 
A,MIO_EUR,TOTAL,DE133	4860.19 e	5052.17 e	5130.19 e	5400.4 e	: 
A,MIO_EUR,TOTAL,DE134	15932.37 e	16472.31 e	16018.69 e	17120.11 e	: 
A,MIO_EUR,TOTAL,DE135	5541.24 e	5613.77 e	5292.73 e	5706.03 e	: 
A,MIO_EUR,TOTAL,DE136	7555.95 e	7721.06 e	7513.33 e	7933.27 e	: 
A,MIO_EUR,TOTAL,DE137	6229.94 e	6471.77 e	5858.3 e	6402.34 e	: 
A,MIO_EUR,TOTAL,DE138	9016.11 e	9373.49 e	9667.65 e	10063.29 e	: 
A,MIO_EUR,TOTAL,DE139	7007.18 e	7182.92 e	6945.77 e	7282.97 e	: 
A,MIO_EUR,TOTAL,DE13A	4797.5 e	4892.83 e	4781.4 e	5047.76 e	: 
A,MIO_EUR,TOTAL,DE14	73421.81 e	76309.85 e	75221.52 e	79977.71 e	84866.38 e
A,MIO_EUR,TOTAL,DE141	10494.9 e	10873.19 e	10349.1 e	11113.55 e	: 
A,MIO_EUR,TOTAL,DE142	6938.33 e	7098.5 e	7022.36 e	7746.54 e	: 
A,MIO_EUR,TOTAL,DE143	6028.28 e	6211.02 e	6263.46 e	6693.8 e	: 
A,MIO_EUR,TOTAL,DE144	8792.97 e	9167.34 e	9084.87 e	9449.94 e	: 
A,MIO_EUR,TOTAL,DE145	5652.48 e	6026.03 e	5948.86 e	6195.02 e	: 
A,MIO_EUR,TOTAL,DE146	9485.58 e	10029.1 e	9747.81 e	10562.29 e	: 
A,MIO_EUR,TOTAL,DE147	9958.62 e	9944.6 e	9818.04 e	10335.17 e	: 
A,MIO_EUR,TOTAL,DE148	11563.06 e	12424.34 e	12477.78 e	13036.19 e	: 
A,MIO_EUR,TOTAL,DE149	4507.59 e	4535.74 e	4509.24 e	4845.21 e	: 
A,MIO_EUR,TOTAL,DE2	558485.03 e	580412.67 e	571434.18 e	605686.5 e	649451.96 e
A,MIO_EUR,TOTAL,DE21	246906.27 e	258484.13 e	252964.1 e	271019.55 e	289714.26 e
A,MIO_EUR,TOTAL,DE211	15628.05 e	17010.68 e	15555.74 e	16327.6 e	: 
A,MIO_EUR,TOTAL,DE212	106872.35 e	112233 e	109432.16 e	117892.14 e	: 
A,MIO_EUR,TOTAL,DE213	2980.15 e	3125.06 e	3043.92 e	3173.8 e	: 
A,MIO_EUR,TOTAL,DE214	4944.7 e	4893.99 e	4918.27 e	6177 e	: 
A,MIO_EUR,TOTAL,DE215	3156.41 e	3361.69 e	3297.41 e	3492.82 e	: 
A,MIO_EUR,TOTAL,DE216	3434.75 e	3513.71 e	3575.21 e	3762.5 e	: 
A,MIO_EUR,TOTAL,DE217	4049.95 e	4236.91 e	4164.35 e	4397.98 e	: 
A,MIO_EUR,TOTAL,DE218	4219.54 e	4178.71 e	4317.75 e	4650.92 e	: 
A,MIO_EUR,TOTAL,DE219	4241.39 e	4388.19 e	4352.17 e	4681.72 e	: 
A,MIO_EUR,TOTAL,DE21A	3825.38 e	4003.46 e	3843.34 e	4096.39 e	: 
A,MIO_EUR,TOTAL,DE21B	8055.42 e	8287.26 e	7568.41 e	7981.83 e	: 
A,MIO_EUR,TOTAL,DE21C	5331.42 e	5477.86 e	5582.04 e	5886.6 e	: 
A,MIO_EUR,TOTAL,DE21D	2412.17 e	2530.99 e	2485.25 e	2551.3 e	: 
A,MIO_EUR,TOTAL,DE21E	3745.97 e	3900.13 e	3935.39 e	4215.25 e	: 
A,MIO_EUR,TOTAL,DE21F	3292.4 e	3560.56 e	3515.19 e	3549.83 e	: 
